TransactionID,UserID,Amount,MerchantCategory,TransactionType,DeviceID,IPAddress,Latitude,Longitude,AvgTransactionAmount,TransactionFrequency,UnusualLocation,UnusualAmount,NewDevice,FailedAttempts,PhoneNumber,BankName,Hour,Day,Month,Weekday,FraudFlag
842835309389,6867,0.8589445549229162,1,0,2528,8789,0.629790528901188,0.38742577604387457,0.06689325846068284,2,0,1,0,0.5,2798604680,1,0.13043478260869562,0.7000000000000001,0.0,0.0,1
592863054785,527,0.9091140071141912,1,0,8933,2995,0.15017089820958218,0.21525576150192205,0.7266284701452974,1,0,1,0,0.5,3614149152,3,0.5652173913043478,0.0,1.0,0.0,0
373481869464,9678,0.8814924996899045,1,1,5327,8074,0.42714709265495276,0.44731433779180696,0.8751597912261362,1,1,0,1,0.75,912661191911,3,0.21739130434782605,0.033333333333333326,0.5,0.16666666666666663,0
285572156436,2760,0.3970272844035963,4,1,6393,5726,0.36721121317196226,0.727168251820008,0.8348743975945794,0,1,1,0,1.0,916358088125,5,0.6956521739130435,0.4333333333333334,0.8333333333333334,0.6666666666666666,0
874207772966,4823,0.4375887773434217,3,0,5403,2641,0.5632723468809389,0.5352309743574898,0.1718633407419114,0,1,1,0,0.0,5132838721,3,0.13043478260869562,0.5000000000000001,1.0,0.16666666666666663,0
213969747071,7397,0.8426155255818792,1,1,866,2553,0.32475832138610117,0.24960010220884238,0.3548615542810045,0,0,1,1,0.5,5514309159,3,0.6086956521739131,0.2,0.33333333333333337,0.49999999999999994,0
285614658293,7268,0.9315729244607338,0,0,5112,1914,0.6962435373809444,0.06970138847151092,0.7012579245445325,0,1,1,1,0.0,7715876422,5,0.47826086956521735,0.23333333333333334,0.6666666666666667,0.3333333333333333,0
485980480692,8146,0.12550665605006345,2,1,4057,1342,0.49794306727125215,0.7292283189333143,0.5449145879636946,2,0,1,1,0.75,913599618877,0,0.5217391304347826,0.33333333333333337,0.16666666666666663,0.9999999999999999,0
215752317622,6661,0.9027120353068745,3,1,9995,6876,0.9935929744718213,0.1365510607855226,0.010199631504928308,0,1,1,0,0.0,800128996,0,0.8260869565217391,0.2666666666666667,0.6666666666666667,0.49999999999999994,1
546464892910,9052,0.03348031193607631,4,0,3635,9838,0.9156529051223062,0.6917884187508387,0.284060287554189,0,0,0,1,1.0,9931281006,3,0.7826086956521738,0.7666666666666667,0.16666666666666663,0.8333333333333333,0
322535968350,9657,0.979042545103892,2,0,1881,4158,0.5671979406305915,0.7701294518938311,0.8586325271920154,2,0,1,1,0.75,1139033019,4,0.9130434782608696,0.23333333333333334,1.0,0.0,0
881793080712,3453,0.024424522753007938,2,1,3082,1801,0.16514917369608462,0.04248132800266846,0.8175409255587942,0,0,1,0,0.75,1106143962,0,0.6521739130434783,0.23333333333333334,1.0,0.0,0
313793292686,1914,0.10753011927673728,6,0,6330,7001,0.7572969748496872,0.07980374857708178,0.8451510489706344,1,0,1,1,1.0,411019719,0,0.3913043478260869,0.9666666666666668,0.5,0.16666666666666663,1
335375750519,6127,0.2550665605006342,6,0,9914,5839,0.8676233732315317,0.7544159341229673,0.9502601671231178,2,1,0,1,0.25,919388275087,4,0.43478260869565216,0.0,0.0,0.0,0
