TransactionID,UserID,Amount,MerchantCategory,TransactionType,DeviceID,IPAddress,Latitude,Longitude,AvgTransactionAmount,TransactionFrequency,UnusualLocation,UnusualAmount,NewDevice,FailedAttempts,PhoneNumber,BankName,Hour,Day,Month,Weekday,FraudFlag
842835309389,6867,0.8589445549229162,1,0,2528,8789,0.629790528901188,0.3874257760438747,0.06689325846068285,2,0,1,0,0.5,2798604680,1,0.13043478260869562,0.7000000000000001,0.0,0.0,1
592863054785,527,0.9091140071141912,1,0,8933,2995,0.15017089820958218,0.2152557615019221,0.7266284701452975,1,0,1,0,0.5,3614149152,3,0.5652173913043478,0.0,1.0,0.0,0
373481869464,9678,0.8814924996899045,1,1,5327,8074,0.42714709265495276,0.44731433779180707,0.8751597912261364,1,1,0,1,0.75,912661191911,3,0.21739130434782605,0.033333333333333326,0.5,0.16666666666666666,0
285572156436,2760,0.3970272844035963,4,1,6393,5726,0.36721121317196226,0.7271682518200081,0.8348743975945796,0,1,1,0,1.0,916358088125,5,0.6956521739130435,0.4333333333333334,0.8333333333333334,0.6666666666666667,0
874207772966,4823,0.4375887773434217,3,0,5403,2641,0.5632723468809389,0.5352309743574899,0.17186334074191142,0,1,1,0,0.0,5132838721,3,0.13043478260869562,0.5000000000000001,1.0,0.16666666666666666,0
213969747071,7397,0.8426155255818792,1,1,866,2553,0.32475832138610117,0.24960010220884243,0.3548615542810046,0,0,1,1,0.5,5514309159,3,0.6086956521739131,0.2,0.33333333333333337,0.5,0
285614658293,7268,0.9315729244607338,0,0,5112,1914,0.6962435373809444,0.06970138847151093,0.7012579245445326,0,1,1,1,0.0,7715876422,5,0.47826086956521735,0.23333333333333334,0.6666666666666667,0.33333333333333337,0
485980480692,8146,0.12550665605006345,2,1,4057,1342,0.49794306727125215,0.7292283189333144,0.5449145879636947,2,0,1,1,0.75,913599618877,0,0.5217391304347826,0.33333333333333337,0.16666666666666663,1.0,0
215752317622,6661,0.9027120353068745,3,1,9995,6876,0.9935929744718213,0.13655106078552262,0.01019963150492831,0,1,1,0,0.0,800128996,0,0.8260869565217391,0.2666666666666667,0.6666666666666667,0.5,1
546464892910,9052,0.03348031193607631,4,0,3635,9838,0.9156529051223062,0.6917884187508389,0.28406028755418905,0,0,0,1,1.0,9931281006,3,0.7826086956521738,0.7666666666666667,0.16666666666666663,0.8333333333333335,0
322535968350,9657,0.979042545103892,2,0,1881,4158,0.5671979406305915,0.7701294518938313,0.8586325271920157,2,0,1,1,0.75,1139033019,4,0.9130434782608696,0.23333333333333334,1.0,0.0,0
881793080712,3453,0.024424522753007938,2,1,3082,1801,0.16514917369608462,0.04248132800266847,0.8175409255587944,0,0,1,0,0.75,1106143962,0,0.6521739130434783,0.23333333333333334,1.0,0.0,0
313793292686,1914,0.10753011927673728,6,0,6330,7001,0.7572969748496872,0.07980374857708179,0.8451510489706346,1,0,1,1,1.0,411019719,0,0.3913043478260869,0.9666666666666668,0.5,0.16666666666666666,1
335375750519,6127,0.2550665605006342,6,0,9914,5839,0.8676233732315317,0.7544159341229675,0.950260167123118,2,1,0,1,0.25,919388275087,4,0.43478260869565216,0.0,0.0,0.0,0
865752824844,5328,0.6829603517883508,6,1,7826,1922,0.5771805949165916,0.9923724206640046,0.1592130769738593,1,0,0,1,0.25,8267569943,3,0.04347826086956519,0.46666666666666673,0.33333333333333337,0.6666666666666667,0
298843177819,8183,0.5567364748342489,0,0,8039,980,0.3485218801053579,0.16730288235630827,0.25364143949138884,1,0,1,1,1.0,7859783339,1,0.21739130434782605,0.7666666666666667,1.0,0.33333333333333337,0
616665746189,2041,0.6714778151670714,5,0,9753,3378,0.824713291434668,0.42076796338394334,0.5247113755348881,0,1,1,1,0.25,5378812911,4,0.21739130434782605,0.5666666666666668,0.0,0.5,0
296148437922,2323,0.9111356297739703,0,0,4090,926,0.6875199713266429,0.8421169520346421,0.46443882521690605,0,1,0,0,1.0,3903725502,4,0.43478260869565216,0.6333333333333334,0.33333333333333337,0.33333333333333337,0
703412231022,6622,0.6366690940809769,1,0,1264,5664,0.8628028956756576,0.9016824747240981,0.9177537804753628,2,1,1,1,0.5,801253446,1,0.17391304347826086,0.4333333333333334,1.0,1.0,0
689953066869,1805,0.8319272335879451,0,0,9799,3859,0.08558585892263748,0.2852725578161477,0.39726449423951393,1,0,1,0,0.25,913442352993,2,0.2608695652173913,0.10000000000000003,0.6666666666666667,0.8333333333333335,0
796548733232,5701,0.5074262872964873,5,0,4650,7848,0.023791934784783086,0.5240779483547264,0.9761818549185692,2,1,1,1,0.0,8500421215,3,0.7391304347826086,0.4,0.5,0.8333333333333335,0
856414297152,1155,0.09770109193631638,4,1,379,8640,0.10603071550028337,0.9177110808655934,0.2519319984556016,2,1,0,0,0.25,382505979,4,0.47826086956521735,0.7333333333333334,0.8333333333333334,1.0,0
542962526360,3571,0.7495988764539478,5,1,4124,2564,0.635067846386379,0.31830061520183456,0.3572771775117981,2,1,1,0,1.0,915683945448,5,0.7391304347826086,0.33333333333333337,0.5,0.5,0
580589704135,2619,0.37082721478215286,0,0,5370,4169,0.5226080696606985,0.490574635963992,0.04994588603859797,2,0,0,0,0.5,447394087,2,1.0,0.06666666666666671,0.6666666666666667,0.6666666666666667,0
385676034372,1919,0.8227594098982487,5,1,1797,5291,0.853204653307994,0.06843538450013954,0.5482854576480732,0,1,1,1,1.0,1404844554,4,0.6086956521739131,0.10000000000000003,0.0,0.5,0
429321949767,6327,0.8884566446465512,2,0,1073,6559,0.29444181697951743,0.7111536135535947,0.9654510863802863,0,1,0,0,0.25,4934529870,1,0.8260869565217391,0.7333333333333334,0.16666666666666663,0.6666666666666667,0
303266479148,4870,0.7345842519496004,6,0,8706,4177,0.8286190944553729,0.8941416695619404,0.7403380072058593,0,1,0,1,0.25,919131711223,0,0.9565217391304348,0.06666666666666671,1.0,0.33333333333333337,1
688789280097,9962,0.8515622811826042,2,0,8503,3379,0.05521381655719665,0.252173463729244,0.7600400903433088,1,0,0,1,0.0,916397113859,3,0.13043478260869562,0.8333333333333335,0.8333333333333334,0.33333333333333337,0
924130740065,5081,0.7748336487638192,1,1,8076,7814,0.7683413657631225,0.06803359418414125,0.24190941262845822,0,0,0,1,0.0,4240471864,3,0.5652173913043478,0.46666666666666673,0.0,0.0,0
428176064422,7761,0.586387607383074,3,1,7111,619,0.7195778598339613,0.15665091636886194,0.3328308703645541,0,0,0,0,0.25,7839864756,3,0.9130434782608696,0.6000000000000001,0.0,0.6666666666666667,0
943401355452,2721,0.4113526966305622,0,0,9815,1438,0.22763672079040664,0.21940652893428791,0.276876434120003,1,0,0,0,0.5,8276238760,3,0.9130434782608696,0.7000000000000001,0.8333333333333334,0.8333333333333335,1
896301437612,144,0.5090938008906742,4,1,4069,3953,0.38387607386167877,0.33078941787894395,0.173841851197609,1,0,1,1,0.5,913290419458,0,0.30434782608695654,0.7666666666666667,1.0,0.33333333333333337,0
